keys,ru,en

LANG_RU,Русский,Russian
LANG_EN,Английский,English

SETTINGS_TITLE,НАСТРОЙКИ,Settings
SETTINGS_LANGUAGE,Язык,Language
SETTINGS_FULLSCREEN,Полный экран,Fullscreen
SETTINGS_FX_OLD_FILM,Эффект старой плёнки,Old film effect
SETTINGS_RESOLUTION,Разрешение,Resolution
SETTINGS_SERVER,Сервер,Server
SETTINGS_VOLUME_MUSIC,Музыка,Music
SETTINGS_VOLUME_SFX,Эффекты,Sound effects

BTN_SAVE,Сохранить,Save
BTN_CANCEL,Отмена,Cancel
BTN_BACK,Назад,Back
BTN_CLOSE,Закрыть,Close
BTN_RESET,Сбросить,Reset
BTN_OK,OK,OK
BTN_YES,Да,Yes
BTN_NO,Нет,No

PHASE_ACTION,Действия,Actions
PHASE_ENCOUNTER,Встречи,Encounters
PHASE_MYTHOS,Мифы,Mythos

SIDEBAR_NEIGHBORS,СОСЕДНИЕ ЛОКАЦИИ,Neighboring Locations
SIDEBAR_NO_NEIGHBORS,—,—
LOC_TYPE_CITY,ГОРОД,City
LOC_TYPE_SEA,МОРЕ,Sea
LOC_TYPE_WILDERNESS,ДИКАЯ ЗЕМЛЯ,Wilderness
CONN_SHIP,морем,by ship
CONN_TRAIN,поездом,by train
CONN_UNCHARTED,путь,uncharted

PAUSE_RESUME,Продолжить,Resume
PAUSE_SETTINGS,Настройки,Settings
PAUSE_LEAVE,Выйти из игры,Leave game

MAIN_PLAY,Играть,Play
MAIN_SETTINGS,Настройки,Settings
MAIN_QUIT,Выйти,Quit

SHADER_DEBUG_TITLE,SHADER DEBUG  ·  Ctrl+M,SHADER DEBUG  ·  Ctrl+M
SHADER_POST_FX,POST FX,POST FX
SHADER_SELECTION,ВЫДЕЛЕНИЕ ЛОКАЦИИ,Selection
SHADER_SEPIA,Сепия,Sepia
SHADER_RADIUS,Радиус,Radius
SHADER_THICKNESS,Толщина,Thickness
SHADER_HALO_INNER,Halo внутр.,Halo inner
SHADER_HALO_OUTER,Halo внеш.,Halo outer
SHADER_HALO_STRENGTH,Сила halo,Halo strength
SHADER_HALO_FALLOFF,Спад halo,Halo falloff
SHADER_OFFSET_X,Сдвиг X,Offset X
SHADER_OFFSET_Y,Сдвиг Y,Offset Y
SHADER_PULSE_SPEED,Пульс скор.,Pulse speed
SHADER_PULSE_AMOUNT,Пульс размах,Pulse amount

INV_SILAS_MARSH_NAME,Сайлас Марш,Silas Marsh
INV_SILAS_MARSH_OCC,Моряк,The Sailor
INV_SILAS_MARSH_QUOTE,"«Оставьте свои страхи на причале, парни. Я не повезу этот груз. Ветер крепчает — поднять все паруса!»","«Leave your fears on the docks, lads. I'll not carry that cargo. The wind is up! Full sail!»"
INV_MONTEREY_JACK_NAME,Монтерей Джек,Monterey Jack
INV_MONTEREY_JACK_OCC,Археолог,The Archaeologist
INV_MONTEREY_JACK_QUOTE,«Ради такого сокровища я готов рискнуть парой отравленных дротиков.»,"«To find a treasure like that, I'll risk a few poison darts.»"
INV_DARRELL_SIMMONS_NAME,Даррелл Симмонс,Darrell Simmons
INV_DARRELL_SIMMONS_OCC,Фотограф,The Photographer
INV_DARRELL_SIMMONS_QUOTE,"«Правда темнее, чем кто-либо из нас способен представить.»",«The truth is darker than any of us know.»
INV_TRISH_SCARBOROUGH_NAME,Триш Скарборо,Trish Scarborough
INV_TRISH_SCARBOROUGH_OCC,Шпионка,The Spy
INV_TRISH_SCARBOROUGH_QUOTE,«Мы лжём постоянно. Но истина существует. Просто нужно уметь людей расшифровывать.»,«We lie all the time. But the truth is in there. You just have to know how to decode people.»
INV_ZOEY_SAMARAS_NAME,Зои Самарас,Zoey Samaras
INV_ZOEY_SAMARAS_OCC,Шеф-повар,The Chef
INV_ZOEY_SAMARAS_QUOTE,«Господь сказал своё слово. Я исполню Его волю без колебаний.»,«God has spoken. I will do His work without hesitation.»
INV_JACQUELINE_FINE_NAME,Жаклин Файн,Jacqueline Fine
INV_JACQUELINE_FINE_OCC,Ясновидящая,The Psychic
INV_JACQUELINE_FINE_QUOTE,«Видения — это предостережение. Будущее можно переписать.»,«The visions are a warning. The future can be rewritten.»
INV_DEXTER_DRAKE_NAME,Декстер Дрейк,Dexter Drake
INV_DEXTER_DRAKE_OCC,Маг,The Magician
INV_DEXTER_DRAKE_QUOTE,"«Не бойтесь. Я всю свою жизнь только и делал, что невозможное.»",«Do not be afraid. I have spent my entire life doing the impossible.»
INV_DIANA_STANLEY_NAME,Диана Стэнли,Diana Stanley
INV_DIANA_STANLEY_OCC,Раскаявшаяся культистка,The Redeemed Cultist
INV_DIANA_STANLEY_QUOTE,"«Ложа не столь невинна, какой притворяется. Я усвоила, что ничто не таково, каким кажется, — включая меня саму.»","«The Lodge is not as innocent as they pretend. I have learned that nothing is ever as it seems, myself included.»"
INV_AMANDA_SHARPE_NAME,Аманда Шарп,Amanda Sharpe
INV_AMANDA_SHARPE_OCC,Студентка,The Student
INV_AMANDA_SHARPE_QUOTE,«Истина разума усмиряет даже самые дикие заблуждения. Я не сделаюсь жертвой подобного безумия.»,«The truth of reason tempers even the wildest delusions. I will not fall prey to such madness.»
INV_GLORIA_GOLDBERG_NAME,Глория Голдберг,Gloria Goldberg
INV_GLORIA_GOLDBERG_OCC,Писательница,The Author
INV_GLORIA_GOLDBERG_QUOTE,«Никогда не недооценивайте силу написанного слова.»,«Never underestimate the power of the written word.»
INV_KATE_WINTHROP_NAME,Кейт Уинтроп,Kate Winthrop
